,business_id,business_name,business_address,business_postal_code,business_latitude,business_longitude,business_phone_number,inspection_date,inspection_score,risks
93,7488,EUROPA EXPRESS,746-750 LA PLAYA St,94121,37.774248,-122.510043,14155644917,2/9/18,94,"Unapproved or unmaintained equipment or utensils, Low risk vermin infestation, Unclean or degraded floors walls or ceilings"
96,7095,ABE'S MARKET,378 FILLMORE St,94117,37.772822,-122.430498,14155862576,12/11/17,92,"Inadequate and inaccessible handwashing facilities, Unapproved or unmaintained equipment or utensils, Unclean unmaintained or improperly constructed toilet facilities"
99,3825,COVE CAFE,434 CASTRO St,94114,37.761918,-122.435135,14155620462,7/24/18,90,"Improper thawing methods, Inadequately cleaned or sanitized food contact surfaces, Unclean or degraded floors walls or ceilings"
102,10886,Taste of Formosa,2428 CLEMENT ST,94121,37.782018,-122.485421,14155666368,9/6/18,88,"Other low risk violation, Inadequate ventilation or lighting, Moderate risk food holding temperature, Non service animal, Unapproved or unmaintained equipment or utensils"
107,62277,Tacos San Buena,16th & Shotwell St,94102,37.779847,-122.418985,14155556127,2/21/18,87,"High risk food holding temperature, Unapproved or unmaintained equipment or utensils, Inadequate food safety knowledge or lack of certified food safety manager"
110,68716,The Sweet House,3512 BALBOA St,94121,37.775818,-122.496401,14155871388,2/26/18,80,"Insufficient hot water or running water, Unclean hands or improper use of gloves, Unapproved or unmaintained equipment or utensils, Unclean or unsanitary food contact surfaces"
114,3649,SAFEWAY #1490,2300 16th St,94103,37.765708000000004,-122.409002,14155571120,12/6/17,82,"Unclean hands or improper use of gloves, High risk food holding temperature, Moderate risk vermin infestation"
117,65086,Bun Mee,2015 FILLMORE St,94115,37.788193,-122.433714,14155807696,9/5/18,88,"Moderate risk vermin infestation, Unapproved or unmaintained equipment or utensils, Food safety certificate or food handler card not available, Moderate risk food holding temperature"
121,2447,NEW CASTILLITO INC.,2092 MISSION St,94110,37.76356,-122.419582,14155626971,9/11/18,89,"Inadequately cleaned or sanitized food contact surfaces, Improper cooling methods"
123,26149,Mrs. Fields Cookies,865 Market St 9000,94103,37.784317,-122.40756299999998,14155971993,5/16/18,92,"Inadequate and inaccessible handwashing facilities, Inadequate warewashing facilities or equipment, Unclean or degraded floors walls or ceilings"
126,28044,Century Theatres,845 Market St Suite 500,94103,37.784848,-122.406892,14155538422,12/12/17,98,Unclean or degraded floors walls or ceilings
127,3869,SAFEWAY #739,3350 MISSION St,94110,37.742998,-122.42163799999999,14155822866,6/8/18,94,"Improper food storage, Improper or defective plumbing, Wiping cloths not clean or properly stored or inadequate sanitizer"
130,300,SUBWAY,2001 VAN NESS Ave,94109,37.794134,-122.42323400000001,14155779929,12/8/17,86,"Inadequate warewashing facilities or equipment, Permit license or inspection report not posted, Inadequate food safety knowledge or lack of certified food safety manager, Unapproved or unmaintained equipment or utensils, Moderate risk food holding temperature"
135,4893,S & W MARKET,399 HAIGHT St,94102,37.772323,-122.428627,14155862346,12/11/17,92,"Moderate risk vermin infestation, Unclean unmaintained or improperly constructed toilet facilities, Unapproved or unmaintained equipment or utensils"
138,1249,KABABAYAN FAST FOOD,2706 MISSION St,94110,37.753690999999996,-122.41865700000001,14155929635,5/15/18,74,"Unclean or unsanitary food contact surfaces, Inadequate food safety knowledge or lack of certified food safety manager, Unclean nonfood contact surfaces, High risk food holding temperature, Moderate risk vermin infestation, Unapproved or unmaintained equipment or utensils"
144,5011,STARBUCKS COFFEE CO,1231 MARKET St,94103,37.778357,-122.415182,14155521438,5/15/18,96,Inadequate and inaccessible handwashing facilities
145,71909,Shanghai Dumpling King 2,696 Monterey Blvd,94127,37.731567999999996,-122.45097,14155232380,12/13/17,92,"Unclean or degraded floors walls or ceilings, Inadequate ventilation or lighting, Unapproved or unmaintained equipment or utensils, Inadequate or unsanitary refuse containers or area or no garbage service"
149,5952,IMMACULATE CONCPTION ACADEMY,3625 24th St,94110,37.751923,-122.42355800000001,14155822052,2/26/18,98,Unapproved or unmaintained equipment or utensils
150,71356,Padrecito,901 Cole St,94117,37.765644,-122.449974,14155502083,6/6/17,87,"Unclean hands or improper use of gloves, Inadequately cleaned or sanitized food contact surfaces, Unclean nonfood contact surfaces"
153,5925,ARCHBISHOP RIORDAN HIGH SCHOOL CAFE,175 PHELAN,94112,37.727337,-122.45245,14155588200,2/23/18,90,"Inadequate and inaccessible handwashing facilities, Low risk vermin infestation, Unclean or degraded floors walls or ceilings, Wiping cloths not clean or properly stored or inadequate sanitizer"
157,5866,KING ELEMENTARY SCHOOL,1215 CAROLINA St,94107,37.753196,-122.39939,14155695797,2/27/18,96,Inadequate food safety knowledge or lack of certified food safety manager
158,4481,Bi Rite Market,3639 18th St,94110,37.761483,-122.42468799999999,14155249760,9/13/18,89,"Improper cooling methods, Inadequately cleaned or sanitized food contact surfaces"
160,64379,Piccadilly Fish & Chips,1348 Polk St,94109,37.789299,-122.42035200000001,14155776477,9/11/18,92,"Unclean or degraded floors walls or ceilings, Inadequately cleaned or sanitized food contact surfaces, Improper food storage"
163,903,Sabra Restaurant,419 Grant Ave,94108,37.790874,-122.405634,14155983656,12/11/17,91,"Unapproved or unmaintained equipment or utensils, Improper cooling methods"
165,5905,MARINA MIDDLE SCHOOL,3500 FILLMORE St,94123,37.801776000000004,-122.43641000000001,14155743495,2/15/18,96,"Inadequate ventilation or lighting, Wiping cloths not clean or properly stored or inadequate sanitizer"
167,5854,Gateway High/Kip Schools,1430 Scott St,94115,37.783427,-122.437747,14155743600,2/27/18,98,Unapproved or unmaintained equipment or utensils
168,2357,CHINA EXPRESS,2798 MISSION St,94110,37.752408,-122.418535,14155640881,7/23/18,81,"Unclean nonfood contact surfaces, Employee eating or smoking, Unclean or degraded floors walls or ceilings, High risk vermin infestation, Foods not protected from contamination"
173,59838,OTD,2232 Bush St,94115,37.786988,-122.434074,14155929578,7/23/18,80,"Unapproved or unmaintained equipment or utensils, Inadequate and inaccessible handwashing facilities, Unclean or unsanitary food contact surfaces, High risk food holding temperature"
177,7361,PastaGina,741 Diamond St,94114,37.751403,-122.43628600000001,14155280738,5/3/16,86,"Wiping cloths not clean or properly stored or inadequate sanitizer, Food safety certificate or food handler card not available, Low risk vermin infestation, Moderate risk food holding temperature, Improper food storage, Inadequate dressing rooms or improper storage of personal items"
183,5926,"SAN FRANCISCO SCHOOL, THE",300 GAVEN St,94134,37.732518,-122.411648,14155235065,2/23/18,96,Foods not protected from contamination
184,2352,SMILE'S  B.B.Q.,2619 MISSION St,94110,37.755013,-122.41866499999999,14155281596,7/19/18,90,"Unclean nonfood contact surfaces, Inadequately cleaned or sanitized food contact surfaces, Moderate risk food holding temperature"
187,5812,Zaida T. Rodriguez (ZTR) Annex Child Development Center,421  BARTLETT St,94110,37.750243,-122.419293,14155695844,2/23/18,98,Low risk vermin infestation
188,65724,Le Meridien SF Main Kitchen/Employee Cafeteria,333 Battery St Level A & B,94111,37.799005,-122.39986200000001,14155292904,11/8/16,96,Noncompliance with HAACP plan or variance
189,5607,SFSU STATION CAFE,1600 Holloway Ave,94132,37.720851,-122.477084,14155374525,11/28/17,87,"Inadequate and inaccessible handwashing facilities, Unapproved or unmaintained equipment or utensils, High risk food holding temperature"
192,65725,Le Meridien SF Park Grill Restaurant & Bar,333 Battery St Level 2 & 3,94111,37.799005,-122.39986200000001,14155292904,11/8/16,92,"Unclean or degraded floors walls or ceilings, Inadequate warewashing facilities or equipment, Moderate risk food holding temperature"
195,1381,PEBBLE'S CAFE,2852 Diamond St,94131,37.73382,-122.43409299999999,14155332270,7/19/18,96,"Unapproved or unmaintained equipment or utensils, Unclean or degraded floors walls or ceilings"
197,69181,Cha-Ya Restaurant,762 Valencia St,94110,37.760777000000004,-122.42150500000001,14155257825,7/19/18,89,"Improper cooling methods, Moderate risk food holding temperature"
199,61816,Bullitt,2209 Polk St,94109,37.797114,-122.42203400000001,14155995053,5/8/17,80,"Unclean or degraded floors walls or ceilings, Improper storage use or identification of toxic substances, Moderate risk vermin infestation, Foods not protected from contamination, Inadequately cleaned or sanitized food contact surfaces, No thermometers or uncalibrated thermometers, Wiping cloths not clean or properly stored or inadequate sanitizer"
206,1931,YUMMY YUMMY VIETNAMESE RESTAURANT,1015 IRVING St,94122,37.763913,-122.46880900000001,14155564722,1/8/18,92,"Moderate risk food holding temperature, Foods not protected from contamination"
208,5919,SAN FRANCISCO DAY SCHOOL,350 MASONIC St,94118,37.777988,-122.446877,14155932422,9/14/18,98,Unapproved or unmaintained equipment or utensils
209,7636,LEE'S FOOD MARKET,1397 Revere Ave,94124,37.729455,-122.38636399999999,14155822818,10/19/16,81,"Unclean or degraded floors walls or ceilings, High risk vermin infestation, Improper storage use or identification of toxic substances, Insufficient hot water or running water, Inadequate and inaccessible handwashing facilities"
214,1042,LOVE 'N HAIGHT COFFEE & DELI,553 HAIGHT St,94117,37.771964000000004,-122.43133600000002,14155258190,12/11/17,92,"Moderate risk vermin infestation, Employee eating or smoking"
216,6007,BAYVIEE HUNTER Pt. ADULT DAY HE,1250 LA SALLE,94124,37.732409999999994,-122.383559,14155824774,7/18/18,94,"Unapproved or unmaintained equipment or utensils, Food in poor condition"
218,18462,Jack's Market,471 03rd St,94107,37.781607,-122.396125,14150297778,5/15/18,96,Inadequate and inaccessible handwashing facilities
219,2759,CASA MEXICANA,180 CHURCH,94114,37.768127,-122.429024,14155802771,5/16/18,84,"Inadequate and inaccessible handwashing facilities, Foods not protected from contamination, Low risk vermin infestation, Moderate risk food holding temperature, Wiping cloths not clean or properly stored or inadequate sanitizer"
224,69217,Orexi Inc.,243 WEST PORTAL Ave,94127,37.738434000000005,-122.46843799999999,14155863810,8/30/18,92,"Inadequately cleaned or sanitized food contact surfaces, Inadequate and inaccessible handwashing facilities"
226,4881,STOP N SHOP,3000 Mission St,94110,37.748924,-122.418144,14155550905,10/21/16,90,"Improper food labeling or menu misrepresentation, Unapproved or unmaintained equipment or utensils, Food safety certificate or food handler card not available, Moderate risk food holding temperature"
230,1626,LUPA TRATTORIA,4109 24th St,94114,37.751243,-122.434529,14155644664,10/3/16,92,"Unclean nonfood contact surfaces, Improper storage of equipment utensils or linens, Inadequate and inaccessible handwashing facilities"
233,19041,Nama Sushi,227 King St,94107,37.777398,-122.39239099999999,14155492007,11/10/16,85,"Inadequate and inaccessible handwashing facilities, Unclean or degraded floors walls or ceilings, High risk vermin infestation, Improper storage of equipment utensils or linens"
237,26341,"Natural Market, Inc.",2201 PINE St,94115,37.788113,-122.432147,14155921320,7/23/18,96,Inadequate food safety knowledge or lack of certified food safety manager
238,741,MOZZARELLA DI BUFALA PIZZERIA II,069 WEST PORTAL Ave,94127,37.740052,-122.466544,14155668900,2/22/18,94,"Unapproved or unmaintained equipment or utensils, Inadequate procedures or records for time as a public health control"
240,71380,Curry Up Now,659 Valencia St,94110,37.762265,-122.421586,14155827000,5/16/18,94,"Foods not protected from contamination, Unclean nonfood contact surfaces"
242,645,TAN-TAN,1825 POST St #223,94115,37.785274,-122.431918,14155346260,8/29/18,94,"Inadequate and inaccessible handwashing facilities, Unapproved or unmaintained equipment or utensils"
244,5856,Sanchez School,325 Sanchez St,94114,37.76395,-122.43076699999999,14155246380,2/26/18,98,Unclean or degraded floors walls or ceilings
245,5813,LICK MIDDLE SCHOOL,1220 Noe St,94114,37.74949,-122.43175,14155816139,2/26/18,94,"Moderate risk vermin infestation, Unapproved or unmaintained equipment or utensils"
247,3868,BARNEY'S,4138 24th St,94114,37.751267999999996,-122.434992,14155287770,2/27/18,96,Inadequately cleaned or sanitized food contact surfaces
248,5912,ARGONNE ALTERNATIVE ELEMENTARY SCHO,680 18th Ave,94118,37.775155,-122.476785,14155758460,2/23/18,93,No hot water or running water
249,1700,Raintree Cafe,118 West Portal Ave,94127,37.739413,-122.46744,14155249000,2/22/18,93,High risk food holding temperature
250,5950,LICK-WILMERDING HIGH SCHOOL,755 OCEAN Ave,94112,37.722933000000005,-122.448971,14155334021,2/26/18,93,Unclean or unsanitary food contact surfaces
251,3678,ROUND TABLE PIZZA,737 PORTOLA Dr,94127,37.744168,-122.453479,14155689595,7/25/18,96,"Unapproved or unmaintained equipment or utensils, Unclean or degraded floors walls or ceilings"
253,70452,Kennedy Market & Deli,4600 03rd St,94124,37.736301,-122.390293,14155285560,9/13/18,90,"Inadequate and inaccessible handwashing facilities, Unclean nonfood contact surfaces, Inadequately cleaned or sanitized food contact surfaces"
256,4828,SAY CHEESE,856 COLE St,94117,37.766017,-122.449976,14155665020,12/12/17,96,Moderate risk food holding temperature
257,1635,KEZAR PUB,770 Stanyan St,94117,37.767828,-122.453227,14155389292,12/15/17,91,"High risk vermin infestation, Inadequate dressing rooms or improper storage of personal items"
259,774,BAY VIEW BOAT CLUB,429 Terry Francois St,94107,37.772667,-122.387032,14155567650,9/13/18,96,"Unclean or degraded floors walls or ceilings, Low risk vermin infestation"
261,1262,NORTH BEACH PIZZA,800 STANYAN St,94117,37.767286,-122.453075,14155752300,12/15/17,90,"Unapproved or unmaintained equipment or utensils, Unclean or degraded floors walls or ceilings, Moderate risk food holding temperature, Wiping cloths not clean or properly stored or inadequate sanitizer"
265,63413,Mymy,1500 California St,94109,37.790797999999995,-122.419214,14155807466,5/22/18,90,"Moderate risk food holding temperature, Unclean or degraded floors walls or ceilings, Inadequate sewage or wastewater disposal"
268,14005,Yuyu Sushi,1559 A Sloat St,94132,37.733901,-122.490726,14155666477,12/5/17,90,"Moderate risk food holding temperature, Foods not protected from contamination, Wiping cloths not clean or properly stored or inadequate sanitizer"
271,5830,Theodore Roosevelt Middle School,460 Arguello Blvd,94118,37.782383,-122.458926,14155758446,9/7/18,96,Insufficient hot water or running water
272,65824,Sugarhill Kitchen,1449 LOMBARD St,94123,37.801173,-122.425467,14155292368,5/17/18,91,"Unclean unmaintained or improperly constructed toilet facilities, High risk food holding temperature"
274,1243,JAVA SUPREME,0703 GUERRERO St,94110,37.759934,-122.423553,14155201832,5/22/18,94,"Inadequately cleaned or sanitized food contact surfaces, Unclean or degraded floors walls or ceilings"
276,2893,FOREIGN CINEMA,2534 MISSION St,94110,37.756417,-122.418884,14155417600,5/23/18,88,"Low risk vermin infestation, Unclean nonfood contact surfaces, Moderate risk food holding temperature, Noncompliance with shell fish tags or display"
280,1081,ARINELL PIZZA,509 VALENCIA St,94110,37.764744,-122.421803,14155251303,5/23/18,94,"Food safety certificate or food handler card not available, Inadequately cleaned or sanitized food contact surfaces"
282,251,BEANERY INC.,602 Irving St,94122,37.764148,-122.46439099999999,14155661090,3/6/18,98,Unclean or degraded floors walls or ceilings
283,4787,TONY BALONEY'S,1098 HOWARD St,94103,37.778033,-122.40943,14155861514,10/2/17,86,"Inadequate and inaccessible handwashing facilities, Inadequately cleaned or sanitized food contact surfaces, Food safety certificate or food handler card not available, Unapproved or unmaintained equipment or utensils, Unclean or degraded floors walls or ceilings"
288,1294,ANCHOR OYSTER BAR INC.,579 Castro St,94114,37.759613,-122.434817,14155433990,1/6/17,93,Unclean hands or improper use of gloves
289,6564,HWA LEI MARKET,2970 A 16th St,94103,37.774722,-122.40676100000002,14155861618,5/22/18,82,"Inadequately cleaned or sanitized food contact surfaces, Unclean or degraded floors walls or ceilings, Moderate risk vermin infestation, Inadequate food safety knowledge or lack of certified food safety manager, Foods not protected from contamination"
294,59872,KAMEKYO,943 COLE St,94117,37.765164,-122.449874,14155758428,12/14/17,89,"Inadequate ventilation or lighting, Unapproved or unmaintained equipment or utensils, High risk vermin infestation"
297,5820,GLEN PARK ELEMENTARY SCHOOL,151 LIPPARD Ave,94122,37.73322,-122.435998,14155464713,3/5/18,96,"No thermometers or uncalibrated thermometers, Wiping cloths not clean or properly stored or inadequate sanitizer"
299,35882,Peet's Coffee and Tea,555 09th St Ste B5,94103,37.774722,-122.40676100000002,14155693115,5/18/18,96,"Wiping cloths not clean or properly stored or inadequate sanitizer, Unclean or degraded floors walls or ceilings"
301,320,NAPOLI PIZZA RESTAURANT,1045 POLK St,94109,37.786545000000004,-122.419894,14155882222,5/22/18,81,"Unclean or degraded floors walls or ceilings, Unapproved or unmaintained equipment or utensils, Improper thawing methods, High risk vermin infestation, Inadequate and inaccessible handwashing facilities"
306,62445,Bistro 10 UN,"10 United Nations Plaza, 6th Floor  6th Floor",94102,37.780435,-122.413496,14155274001,7/24/18,98,Unpermitted food facility
307,5786,UNION STREET INN,2229 UNION St,94123,37.796977000000005,-122.43596799999999,14155340424,10/3/17,94,"Low risk vermin infestation, Foods not protected from contamination"
309,64938,Xpress Market,498 O'Farrell St,94102,37.785861,-122.412954,14155923063,2/27/18,79,"Employee eating or smoking, Unclean or unsanitary food contact surfaces, Permit license or inspection report not posted, Inadequate food safety knowledge or lack of certified food safety manager, Unapproved or unmaintained equipment or utensils, Improper or defective plumbing"
315,3477,CHOW,215 Church St,94114,37.767183,-122.42886599999999,14155552469,5/22/18,96,"Improper storage of equipment utensils or linens, Improper food storage"
317,71286,21 Taste House,1109 Ocean Ave,94112,37.723461,-122.454226,14155932233,3/2/18,90,"Unapproved or unmaintained equipment or utensils, Wiping cloths not clean or properly stored or inadequate sanitizer, Unclean or degraded floors walls or ceilings, Improper thawing methods"
321,619,A-1 BAKERY,1727 OCEAN Ave,94112,37.724824,-122.460726,14155586923,9/29/17,90,"Wiping cloths not clean or properly stored or inadequate sanitizer, Unapproved or unmaintained equipment or utensils, Unsanitary employee garments hair or nails, Inadequate procedures or records for time as a public health control"
325,70516,Shabu House,2608 Ocean Ave,94132,37.731746,-122.47331799999999,14155588800,2/27/18,94,"Unapproved or unmaintained equipment or utensils, Unclean or degraded floors walls or ceilings, Wiping cloths not clean or properly stored or inadequate sanitizer"
328,1595,Zazie,941 COLE St,94117,37.765343,-122.44991399999999,14155565332,12/14/17,92,"Moderate risk food holding temperature, Food safety certificate or food handler card not available, Unapproved or unmaintained equipment or utensils"
331,10332,Harvest Urban Market,191 08th St,94103,37.776384,-122.41168400000001,14155620805,10/2/17,79,"Foods not protected from contamination, Permit license or inspection report not posted, Moderate risk food holding temperature, High risk vermin infestation, Inadequate sewage or wastewater disposal"
336,2620,Bambino's Ristorante,945 Cole St,94117,37.765174,-122.44988400000001,14155731343,12/14/17,96,"Unsanitary employee garments hair or nails, Unapproved or unmaintained equipment or utensils"
338,2406,THEP-PHANON RESTAURANT,400 WALLER St,94117,37.77124,-122.430299,14155432526,3/1/18,85,"Unclean or degraded floors walls or ceilings, Inadequate food safety knowledge or lack of certified food safety manager, Unapproved or unmaintained equipment or utensils, Improper reheating of food"
342,63893,Marina Sushi Bar,2020 LOMBARD St,94123,37.800028000000005,-122.43486399999999,14155332767,5/17/18,88,"Inadequately cleaned or sanitized food contact surfaces, Inadequate and inaccessible handwashing facilities, Insufficient hot water or running water"
345,4874,JUMP START COFFEE & GROCERY,1192 GUERRERO St,94110,37.752117999999996,-122.42291399999999,14155647555,3/6/18,86,"Moderate risk food holding temperature, Inadequate and inaccessible handwashing facilities, Inadequate food safety knowledge or lack of certified food safety manager, Low risk vermin infestation"
349,773,MARIPOSA HUNTERS POINT YACHT CLUB,405 TERRY FRANCOIS Blvd,94107,37.77325,-122.387222,14155789296,9/13/18,98,Low risk vermin infestation
350,33467,"California Pizza Kitchen, Inc.",53 03rd St,94103,37.78678,-122.40253500000001,14150345000,1/3/18,94,"Moderate risk food holding temperature, Unclean nonfood contact surfaces"
352,5853,RAOUL WALLENBERG HIGH SCHOOL,40 VEGA St,94115,37.780133,-122.44586399999999,14155743469,9/12/18,94,"Moderate risk vermin infestation, Unapproved or unmaintained equipment or utensils"
354,1949,PLUTO'S,627 IRVING St,94122,37.764083,-122.46471000000001,14155758867,3/5/18,89,"Foods not protected from contamination, High risk food holding temperature"
356,37792,Auntie Anne's Pretzels,845 Market St Space 201,94103,37.784848,-122.406892,14155371098,2/28/18,96,"Unclean or degraded floors walls or ceilings, Low risk vermin infestation"
358,151,BUS STOP PIZZA #1,256 Divisadero St,94117,37.771487,-122.43704699999999,14155629119,5/14/18,81,"Unclean hands or improper use of gloves, Insufficient hot water or running water, Moderate risk food holding temperature, Improper food storage, Unapproved or unmaintained equipment or utensils"
363,37090,Basil Canteen,1489 FOLSOM St,94103,37.772008,-122.413803,14155553963,5/21/18,86,"Moderate risk vermin infestation, Wiping cloths not clean or properly stored or inadequate sanitizer, Moderate risk food holding temperature, Foods not protected from contamination"
367,4716,MICHAELIS WINE & SPIRITS,2198 UNION St,94123,37.797138000000004,-122.43533400000001,14155925700,3/7/18,87,"High risk vermin infestation, Inadequately cleaned or sanitized food contact surfaces, Unclean nonfood contact surfaces"
370,2689,THE BLUE PLATE,3218 MISSION St,94110,37.745158,-122.420217,14155286777,5/18/18,91,"Improper food storage, Improper cooling methods"
372,2973,KOH SAMUI & THE MONKEY,415 BRANNAN St,94107,37.779777,-122.394673,14155579885,5/23/18,88,"Wiping cloths not clean or properly stored or inadequate sanitizer, Foods not protected from contamination, Employee eating or smoking, Low risk vermin infestation"
376,3631,NOC NOC,557 HAIGHT St,94117,37.771964000000004,-122.43133600000002,14155865811,3/1/18,90,"Food safety certificate or food handler card not available, Low risk vermin infestation, Wiping cloths not clean or properly stored or inadequate sanitizer, Insufficient hot water or running water"
380,67552,Namu Gaji,499 Dolores St,94110,37.761554,-122.425956,14155436268,5/10/18,89,"Improper cooling methods, Noncompliance with HAACP plan or variance"
382,28206,Westfield Food Court Scullery,845 Market St Scullery (LL),94103,37.784679,-122.40706100000001,14155516776,3/5/18,90,"Inadequate and inaccessible handwashing facilities, Inadequate or unsanitary refuse containers or area or no garbage service, Unclean or degraded floors walls or ceilings, Inadequate warewashing facilities or equipment"
386,3256,"Connection, The",5740 MISSION St,94112,37.709737,-122.45007,14155336172,10/2/17,92,"Unclean or degraded floors walls or ceilings, Improper storage of equipment utensils or linens, Foods not protected from contamination"
389,2315,TAQUERIA CAN-CUN,2288 MISSION St,94110,37.760487,-122.41928500000002,14155259560,9/17/18,81,"Inadequate and inaccessible handwashing facilities, Improper thawing methods, Inadequate food safety knowledge or lack of certified food safety manager, Unclean or unsanitary food contact surfaces"
